Influence_ID,Category,Name,Elements_To_Use,Elements_To_Avoid,Adaptation_Notes,Used_In_Prompts,Status
1,Acoustic Instruments,Dulcimer,"Bright harmonic shimmer, gentle plucked texture, natural sustain","Aggressive strumming, dominant melodic lines","Use as ambient background texture layer, keep volume subtle for gentle brain stimulation without distraction",83,Tested
2,Acoustic Instruments,Harp,"Glissando textures, arpeggiated patterns, soft harmonic resonance","Complex classical melodies, forte passages","Works beautifully for alpha boost and theta states, use as flowing background element",85,Avoid
3,Acoustic Instruments,Autoharp,"Gentle strummed chords, open tuning resonance, folk warmth","Aggressive chord changes, loud strumming","Creates soothing bed of harmonic texture, pairs well with fingerstyle guitar",87,Tested
4,Acoustic Instruments,Celesta,"Bell-like tones, delicate high-frequency sparkle, music-box quality","Busy melodic lines, nursery-rhyme associations",Adds gentle high-frequency stimulation for focus without harsh digital sounds,89,Avoid
5,Acoustic Instruments,Steel Pan,"Warm metallic shimmer, Caribbean resonance, mellow sustain","Busy calypso melodies, fast rhythmic patterns",Use sustained tones and slow melodic fragments as exotic texture layer,84,Tested
6,Acoustic Instruments,Marimba,"Woody resonance, gentle mallet strikes, warm mid-range tones","Fast runs, complex melodic patterns","Excellent for theta-gamma coupling, use simple rhythmic patterns as foundation",86,Tested
7,Acoustic Instruments,Vibraphone,"Soft mallet attack, gentle vibrato, jazz warmth","Bebop melodies, aggressive playing",Perfect for focused work - creates pleasant mid-frequency texture without demanding attention,,Unexplored
8,Acoustic Instruments,Glockenspiel,"Bright metallic sparkle, gentle high tones, crystalline clarity","Dominant melodies, march-like patterns",Subtle high-frequency accents for alertness during afternoon slump,,Unexplored
9,Acoustic Instruments,Mandolin,"Tremolo texture, folk warmth, acoustic shimmer","Fast bluegrass picking, dominant melodies","Use tremolo as ambient texture layer, not lead instrument",,Unexplored
10,Acoustic Instruments,Bouzouki,"Greek folk texture, metallic string resonance, exotic timbre","Traditional Greek melodies, complex picking patterns",Adds Mediterranean flavor as background texture in hybrids,,Unexplored
11,Acoustic Instruments,Oud,"Middle Eastern warmth, fretless microtones, resonant body","Quarter-tone melodies, virtuosic passages",Use sustained notes and gentle plucks for exotic ambient texture,,Unexplored
12,Acoustic Instruments,Sitar,"Harmonic drone, sympathetic string resonance, Indian classical texture","Raga melodies, fast runs",The drone and sympathetic resonance create excellent theta-inducing texture without rhythmic complexity,,Unexplored
13,Acoustic Instruments,Lap Steel Guitar,"Smooth glissandos, Hawaiian warmth, vocal-like slides","Country/western melodies, twangy aggressive tones","Creates flowing ambient texture, works for relaxed focus states",,Unexplored
14,Acoustic Instruments,EBow Guitar,"Infinite sustain, violin-like bowing, ethereal textures","Harsh industrial sounds, aggressive noise",Perfect for ambient drones and sustained harmonic pads without percussive attack,,Unexplored
15,Electronic Effects,Dub Delay,"Spacious echo trails, rhythmic repeats, dub reggae atmosphere","Busy delay patterns, harsh metallic repeats","Creates sense of space and depth, use subtle settings for gentle brain entrainment",,Unexplored
16,Electronic Effects,Tape Echo,"Warm analog repeats, gentle degradation, vintage warmth","Harsh digital delay, overly precise repeats","Adds nostalgic warmth and depth without digital harshness, great for evening wind-down",,Unexplored
17,Electronic Effects,Reverb Plates,"Vintage studio shimmer, lush ambience, classic analog character","Harsh spring reverb, overly digital sounds",Creates professional ambient space without being too clean/sterile,,Unexplored
18,Electronic Effects,Analog Synth Arpeggios,"Warm synthesized patterns, vintage character, Moog-style warmth","Aggressive sawtooth leads, harsh digital sounds","Use subtle volume levels for gentle rhythmic texture, Berlin-school ambient style",,Unexplored
19,Electronic Effects,Mellotron,"Tape-based orchestra sounds, vintage choir/strings, nostalgic warmth",Overly recognizable Beatles/prog-rock clichés,"Creates lush ambient bed with organic tape imperfections, excellent for theta states",,Unexplored
20,Electronic Effects,Granular Synthesis,"Micro-sample clouds, evolving textures, digital atmospheres","Glitchy rhythms, harsh digital artifacts","Used subtly creates evolving ambient bed that never repeats, perfect for long sessions",,Unexplored
21,Electronic Effects,Ambient Drones,"Sustained harmonic layers, evolving pads, Brian Eno influence","Single-note monotony, harsh industrial drones","Foundation for theta/alpha states, must evolve slowly to maintain subtle interest",,Unexplored
22,Electronic Effects,Vinyl Crackle,"Analog warmth, nostalgic texture, gentle noise floor","Overpowering surface noise, harsh pops/clicks","Subtle layer adds warmth and masks digital harshness, creates cozy atmosphere",,Unexplored
23,Electronic Effects,Tape Saturation,"Warm harmonic distortion, analog compression, vintage character","Harsh overdrive, distorted peaks",Glues mix together with warm analog character without being obviously distorted,,Unexplored
24,Rhythmic Elements,Swing Quantization,"Triplet feel, jazz shuffle, human groove","Overly pronounced swing, shuffle clichés","Adds subtle human feel to electronic rhythms, prevents robotic monotony",,Unexplored
25,Rhythmic Elements,Shuffle Grooves,"Blues feel, lazy triplets, organic timing","Hard shuffle, dominant rhythm patterns",Creates relaxed rhythmic foundation that feels natural and unforced,,Unexplored
26,Rhythmic Elements,Polyrhythmic Layers,"Multiple simultaneous patterns, African influence, complex interlocking","Chaotic clashing, overly busy textures",When done subtly creates rich rhythmic bed that engages without demanding attention,,Unexplored
27,Rhythmic Elements,Odd Time Signatures,"5/4, 7/8, complex meters, progressive feel","Obvious prog-rock clichés, jarring transitions","Used naturally prevents rhythmic monotony, but must flow organically",,Unexplored
28,Rhythmic Elements,Clave Patterns,"Latin rhythmic foundation, Afro-Cuban feel, syncopated pulse","Busy salsa rhythms, aggressive percussion",Subtle clave creates engaging pulse without being dance music,,Unexplored
29,Rhythmic Elements,Gamelan Rhythms,"Indonesian interlocking patterns, metallophone textures, cyclical structures","Busy traditional melodies, dominant gamelan orchestra",Use the interlocking concept with other instruments for complex-yet-hypnotic rhythm,,Unexplored
30,Textures,Field Recordings - Rain,"Natural white noise, gentle patter, soothing consistency","Harsh thunder, overpowering water sounds","Creates natural masking noise and connection to nature, excellent for focus",,Unexplored
31,Textures,Field Recordings - Forest,"Bird songs, rustling leaves, natural ambience","Loud animal calls, jarring nature sounds",Subtle layer adds organic quality and reduces digital fatigue,,Unexplored
32,Textures,Field Recordings - Ocean,"Wave patterns, tidal rhythms, natural low-frequency pulse","Harsh crashing, seagull cries","Natural theta-inducing rhythm from wave patterns, adds depth and movement",,Unexplored
33,Textures,Harmonic Drones,"Sustained pitches, overtone series, meditative sustain","Single unchanging note, boring monotony","Must evolve slowly through subtle modulation, creates foundation for other elements",,Unexplored
34,Textures,Sustained Tones,"Long notes, gentle evolution, ambient foundation","Static single pitches, no movement",When layered and evolving creates rich harmonic bed for other instruments,,Unexplored
35,Textures,Melodic Percussion,"Tuned drums, harmonic rhythms, pitched percussive elements","Busy melodic patterns, overly musical drum fills","Bridges rhythm and melody naturally, creates engaging texture without demanding focus",,Unexplored
36,Textures,Tuned Drums,"Tabla, talking drums, pitched toms","Complex rhythmic solos, aggressive playing",Use as tonal rhythmic foundation that sits between percussion and melody,,Unexplored
37,Genre Influences,Surf Rock (Dick Dale),"Reverb-drenched guitar texture, vintage spring reverb, instrumental guitar atmosphere","Aggressive tremolo-picked melodies, loud energetic passages, dominating lead guitar","Extract the wet reverb ambience and distant guitar texture - think background surf movie soundtrack, not foreground performance",,Unexplored
38,Genre Influences,Krautrock (Neu!),"Motorik beat, hypnotic repetition, minimal evolution","Harsh industrial sounds, aggressive guitar","The steady motorik creates trance-like state perfect for flow, but must stay background",,Unexplored
39,Genre Influences,Fourth World (Jon Hassell),"Ambient trumpet processing, ethnic fusion, dreamlike atmospheres","Harsh brass, complex melodies",Creates exotic ambient texture that stimulates without demanding attention,,Unexplored
40,Genre Influences,Balearic Beat,"Relaxed island vibe, gentle electronic grooves, sunset atmosphere","Club-style builds, aggressive bass",Perfect for afternoon refresh - maintains energy without stress,,Unexplored
41,Genre Influences,Minimalism (Steve Reich),"Phase patterns, gradual process, hypnotic repetition","Academic rigidity, harsh timbres","The phasing creates engaging brain entrainment, but must use warm timbres",,Unexplored
42,Genre Influences,Space Music (Michael Stearns),"Deep ambient exploration, cosmic atmospheres, theta-inducing textures","New-age clichés, overly mystical elements",Creates deep focus states through slow evolution and rich harmonics,,Unexplored
43,Genre Influences,Ambient Dub (The Orb),"Spacious delays, gentle bass pulse, samples as texture","Busy breakbeats, aggressive bass","Extract the spaciousness and gentle pulse, leave the dance-floor energy",,Unexplored
44,Genre Influences,Lo-Fi Hip Hop,"Warm vinyl texture, gentle beats, study atmosphere","Dominant drum loops, sample-based melodies","Use the production aesthetic (warmth, subtle imperfection) not the genre clichés",,Unexplored
45,Genre Influences,Exotica (Martin Denny),"Tropical bird calls, vibraphone, jungle atmospheres","Kitschy stereotypes, busy arrangements","The exotic instrumentation and found sounds create interest, but must stay background",,Unexplored
46,Genre Influences,Kosmische Musik (Tangerine Dream),"Analog sequencer patterns, Berlin-school ambience, evolving synth textures","Harsh vintage synth sounds, overly repetitive sequences",Use the hypnotic evolution and warm analog character for theta states,,Unexplored
47,Genre Influences,Jazzanova,"Broken beat rhythms, jazz instrumentation, smooth grooves, organic production","Vocal features, dramatic builds, attention-demanding solos","Jazzanova blends jazz warmth with electronic precision - use the laid-back grooves and acoustic instruments over downtempo beats, avoid their more upbeat club tracks",,Unexplored
48,Genre Influences,Fila Brazillia,"Atmospheric textures, dub influences, analog warmth, hypnotic loops","Dark/heavy basslines, dramatic tension, experimental noise","Fila Brazillia creates spacious, dubbed-out electronica - use the ambient textures and subtle rhythms, avoid their heavier trip-hop moments",,Unexplored
49,Genre Influences,St. Germain,"Four-on-floor pulse, jazz samples, Rhodes textures, French touch production","Club-style builds, prominent trumpet solos, energetic sections","St. Germain pioneered jazz house - use the gentle house pulse with jazz instrumentation as background flow, avoid the more dancefloor-focused moments",,Unexplored
50,Genre Influences,Thunderball,"Cinematic strings, vintage organ, retro production, medium tempos","Dramatic orchestral swells, spy-movie intensity, vocal features","Thunderball does cinematic lounge - use the retro instrumentation and warm production as sophisticated background, avoid dramatic cinematic moments",,Unexplored
51,Genre Influences,Blue Six,"Deep house grooves, Rhodes piano, warm bass, jazzy chords","Soulful vocals (use instrumental versions), club energy","Blue Six makes sophisticated deep house - use the instrumental versions with Rhodes and warm house grooves, avoid vocal tracks that demand attention",,Unexplored
52,Genre Influences,Peter Schmalfuss (Classical Piano),"Solo piano textures, classical harmony, gentle dynamics, contemplative pieces","Dramatic romantic pieces, loud fortissimo passages, attention-demanding virtuosity","Classical piano as background - use gentle Bach, Satie, or minimalist pieces, avoid dramatic Romantic-era showpieces. Focus on pieces that create atmosphere rather than demand attention",,Unexplored
53,Genre Influences,Stan Getz (Bossa Nova),"Bossa nova rhythms, cool jazz tone, gentle saxophone texture, Latin grooves","Bebop complexity, aggressive blowing, foreground saxophone solos","Stan Getz bossa nova era - use the gentle Latin grooves and saxophone as atmospheric texture (like we already do), avoid bebop/hard bop intensity",,Unexplored
54,Genre Influences,Breeder,"Minimal beats, atmospheric pads, subtle melodies, organic textures","Experimental elements, glitchy production, dramatic changes","Breeder creates minimal downtempo - use the subtle atmospheres and gentle beats, maintain consistency without experimental departures",,Unexplored
55,Genre Influences,Digital Analog Band,"Live instrumentation, house grooves, organic production, jazz elements","Energetic builds, party atmosphere, prominent vocals","Digital Analog Band blends live jazz with house - use the organic grooves and warm production, avoid their more energetic club tracks",,Unexplored
56,Genre Influences,A Forest Mighty Black,"Deep minimal house, ambient textures, jazz instrumentation, spacious production","Club dynamics, dramatic builds, foreground elements","Deep ambient house with jazz - use the minimal grooves and spacious production as background flow, keep everything understated",,Unexplored
